13/10/2022 11:01:50.538053
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
-0.590,0.000,-0.286
-0.579,0.000,-0.203
-0.569,0.000,-0.144
-0.560,0.000,-0.102
-0.550,0.000,-0.073
-0.540,0.000,-0.052
-0.530,0.000,-0.037
-0.519,0.000,-0.027
-0.509,0.000,-0.020
-0.498,0.000,-0.015
-0.488,0.000,-0.011
-0.478,0.000,-0.009
-0.468,0.000,-0.007
-0.458,0.000,-0.005
-0.449,0.000,-0.005
-0.440,0.000,-0.004
-0.432,0.000,-0.003
-0.424,0.000,-0.002
-0.417,0.000,-0.002
-0.409,0.000,-0.001
-0.403,0.000,-0.000
-0.396,0.000,0.000
-0.390,0.000,0.001
-0.383,0.000,0.001
-0.376,-0.000,0.001
-0.370,0.000,0.001
-0.363,0.000,0.001
-0.355,0.000,0.001
-0.348,0.001,0.000
-0.341,0.000,-0.000
-0.334,0.000,-0.001
-0.327,0.000,-0.001
-0.319,0.000,-0.002
-0.313,0.000,-0.002
-0.307,0.000,-0.002
-0.301,0.000,-0.002
-0.295,0.000,-0.001
-0.290,0.000,-0.002
-0.285,0.000,-0.001
-0.281,0.000,-0.001
-0.276,0.000,0.000
-0.272,0.000,0.000
-0.268,0.000,0.001
-0.264,0.000,0.001
-0.259,0.000,0.001
-0.255,0.000,0.001
-0.250,0.000,0.001
-0.245,0.001,0.001
-0.240,0.000,0.000
-0.235,0.000,-0.000
-0.229,0.000,-0.001
-0.224,0.000,-0.002
-0.219,0.001,-0.002
-0.214,0.000,-0.002
-0.210,0.000,-0.002
-0.206,0.001,-0.002
-0.202,0.000,-0.002
-0.199,0.000,-0.002
-0.195,0.000,-0.001
-0.192,0.000,-0.000
-0.189,0.000,-0.000
-0.187,0.000,-0.000
-0.184,0.000,0.000
-0.181,0.000,0.000
-0.178,0.000,0.001
-0.175,0.000,0.001
-0.172,0.000,0.001
-0.168,0.000,0.000
-0.165,0.000,0.000
-0.161,0.000,-0.000
-0.157,0.000,-0.001
-0.153,0.000,-0.001
-0.149,0.000,-0.002
-0.146,0.001,-0.001
-0.143,0.000,-0.002
-0.139,0.000,-0.002
-0.137,0.000,-0.001
-0.135,0.000,-0.001
-0.133,0.000,-0.000
-0.131,0.000,-0.000
-0.129,0.000,0.001
-0.128,0.000,0.001
-0.126,0.000,0.001
-0.124,0.000,0.001
-0.122,0.000,0.001
-0.120,0.001,0.001
-0.118,0.000,0.001
-0.115,0.000,0.001
-0.112,0.000,0.000
-0.109,0.000,0.001
-0.106,0.001,-0.000
-0.103,0.000,-0.001
-0.100,0.000,-0.001
-0.097,0.000,-0.001
-0.095,0.000,-0.001
-0.093,0.000,-0.001
-0.091,0.000,-0.001
-0.089,0.000,-0.001
-0.088,0.000,-0.000
-0.087,0.000,0.000
-0.086,0.000,0.001
-0.086,0.000,0.001
-0.085,0.000,0.001
-0.084,0.000,0.001
-0.083,0.000,0.001
-0.081,0.000,0.001
-0.080,0.000,0.001
-0.077,0.000,0.001
-0.075,0.000,0.000
-0.073,0.001,0.001
-0.070,0.000,-0.000
-0.068,0.000,-0.001
-0.065,0.000,-0.001
-0.064,0.000,-0.001
-0.062,0.000,-0.001
-0.060,0.000,-0.001
-0.059,0.001,-0.001
-0.058,0.000,-0.001
-0.058,0.000,-0.000
-0.057,0.000,0.000
-0.057,0.000,0.001
-0.056,0.000,0.001
-0.056,-0.000,0.001
-0.055,0.001,0.002
-0.055,0.000,0.002
-0.054,0.001,0.002
-0.052,0.000,0.001
-0.051,0.000,0.001
-0.049,0.000,0.001
