17/11/2022 13:27:24.759779
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
-0.803,-0.390,-1.208
-1.243,-0.361,-0.302
-1.000,-0.208,-0.586
-0.875,-0.146,-0.891
-0.883,-0.140,-0.982
-0.917,-0.144,-1.368
-1.071,-0.165,-0.381
-0.826,-0.121,-0.201
-0.604,-0.084,0.186
-0.325,-0.044,-0.178
-0.271,-0.042,-0.328
-0.288,-0.049,-0.214
-0.260,-0.043,0.483
0.002,-0.000,0.949
0.335,0.052,1.062
0.592,0.087,1.404
0.875,0.124,0.398
0.707,0.087,0.175
0.519,0.052,-0.267
0.243,0.012,0.137
0.205,0.012,0.340
0.252,0.024,0.229
0.244,0.020,-0.441
0.004,-0.019,-0.868
-0.300,-0.067,-1.012
-0.549,-0.101,-1.395
-0.841,-0.139,-0.421
-0.693,-0.106,-0.244
-0.532,-0.076,0.158
-0.287,-0.040,-0.181
-0.246,-0.038,-0.321
-0.270,-0.046,-0.222
-0.249,-0.041,0.451
-0.001,-0.000,0.911
0.320,0.050,1.047
0.578,0.086,1.403
0.866,0.123,0.395
0.701,0.087,0.189
0.520,0.053,-0.267
0.245,0.012,0.103
0.195,0.010,0.297
0.230,0.021,0.202
0.220,0.017,-0.472
-0.021,-0.023,-0.933
-0.339,-0.073,-1.069
-0.594,-0.107,-1.434
-0.884,-0.145,-0.405
-0.714,-0.108,-0.206
-0.531,-0.075,0.207
-0.270,-0.037,-0.153
-0.225,-0.035,-0.262
-0.234,-0.040,-0.155
-0.203,-0.034,0.547
0.061,0.009,0.973
0.382,0.059,1.071
0.626,0.092,1.391
0.893,0.127,0.349
0.702,0.086,0.112
0.495,0.049,-0.335
0.204,0.006,0.064
0.155,0.004,0.256
0.190,0.015,0.173
0.184,0.012,-0.487
-0.050,-0.026,-0.889
-0.343,-0.072,-1.018
-0.578,-0.104,-1.405
-0.864,-0.142,-0.413
-0.704,-0.107,-0.230
-0.533,-0.075,0.177
-0.282,-0.039,-0.190
-0.246,-0.038,-0.306
-0.263,-0.045,-0.199
-0.236,-0.039,0.498
0.023,0.004,0.931
0.344,0.054,1.044
0.592,0.088,1.391
0.871,0.124,0.362
0.693,0.085,0.190
0.515,0.053,-0.248
0.248,0.013,0.122
0.204,0.012,0.286
0.233,0.021,0.186
0.216,0.017,-0.506
-0.036,-0.025,-0.907
-0.340,-0.072,-1.047
-0.587,-0.106,-1.417
-0.874,-0.144,-0.438
-0.720,-0.109,-0.268
-0.557,-0.079,0.152
-0.305,-0.042,-0.180
-0.258,-0.039,-0.306
-0.272,-0.046,-0.218
-0.250,-0.041,0.462
0.002,0.001,0.895
0.317,0.050,1.018
0.566,0.084,1.379
0.849,0.121,0.352
0.676,0.083,0.151
0.490,0.049,-0.304
0.212,0.008,0.083
0.166,0.006,0.251
0.196,0.016,0.155
0.182,0.012,-0.513
-0.061,-0.028,-0.904
-0.355,-0.074,-1.010
-0.584,-0.104,-1.352
-0.848,-0.139,-0.295
-0.653,-0.098,-0.111
-0.458,-0.063,0.276
-0.197,-0.026,-0.073
-0.150,-0.023,-0.199
-0.164,-0.030,-0.114
-0.143,-0.026,0.540
0.098,0.014,0.915
0.386,0.059,0.987
0.599,0.087,1.292
0.840,0.118,0.252
0.635,0.076,0.051
0.428,0.039,-0.393
0.140,-0.003,0.003
0.091,-0.005,0.207
0.132,0.007,0.137
0.134,0.006,-0.482
-0.081,-0.030,-0.848
-0.347,-0.071,-0.986
-0.570,-0.102,-1.346
-0.838,-0.137,-0.347
-0.664,-0.100,-0.186
-0.492,-0.069,0.200
-0.246,-0.033,-0.192
-0.224,-0.035,-0.325
-0.256,-0.045,-0.221
-0.240,-0.040,0.495
0.019,0.003,0.923
0.338,0.053,1.053
0.591,0.088,1.397
0.872,0.125,0.370
0.697,0.086,0.194
0.519,0.054,-0.258
0.247,0.013,0.126
0.203,0.012,0.279
0.230,0.021,0.182
0.213,0.016,-0.507
-0.039,-0.026,-0.892
-0.337,-0.071,-1.031
-0.579,-0.104,-1.421
-0.871,-0.143,-0.427
-0.713,-0.108,-0.230
-0.539,-0.076,0.185
-0.283,-0.038,-0.170
-0.240,-0.036,-0.276
-0.250,-0.042,-0.208
-0.231,-0.038,0.484
0.022,0.003,0.871
0.321,0.050,1.017
0.567,0.084,1.393
0.856,0.123,0.393
0.694,0.087,0.159
0.505,0.051,-0.268
0.234,0.011,0.159
0.207,0.012,0.315
0.245,0.023,0.229
0.239,0.020,-0.472
-0.010,-0.021,-0.891
-0.318,-0.069,-1.035
-0.569,-0.103,-1.388
-0.852,-0.140,-0.367
-0.680,-0.103,-0.211
-0.512,-0.072,0.171
-0.270,-0.037,-0.214
-0.247,-0.038,-0.292
-0.259,-0.044,-0.188
-0.231,-0.038,0.546
0.044,0.008,0.953
0.365,0.057,1.075
0.616,0.091,1.405
0.891,0.127,0.338
0.698,0.086,0.127
0.496,0.050,-0.320
0.210,0.007,0.099
0.171,0.007,0.258
0.202,0.017,0.128
0.176,0.011,-0.581
-0.088,-0.033,-0.942
-0.386,-0.078,-1.050
-0.618,-0.109,-1.398
-0.887,-0.145,-0.358
-0.700,-0.105,-0.178
-0.513,-0.071,0.223
-0.252,-0.033,-0.161
-0.216,-0.033,-0.272
-0.233,-0.040,-0.191
-0.215,-0.036,0.492
0.035,0.005,0.886
0.335,0.052,1.027
0.579,0.085,1.377
0.858,0.122,0.345
0.678,0.083,0.176
0.501,0.051,-0.286
0.225,0.010,0.129
0.190,0.010,0.277
0.220,0.020,0.169
0.202,0.015,-0.551
-0.061,-0.029,-0.909
-0.357,-0.074,-1.013
-0.586,-0.105,-1.326
-0.841,-0.137,-0.252
-0.633,-0.094,-0.094
-0.439,-0.060,0.285
-0.183,-0.024,-0.128
-0.160,-0.026,-0.264
-0.194,-0.036,-0.216
-0.198,-0.035,0.447
0.030,0.003,0.788
0.298,0.045,0.893
0.509,0.074,1.225
0.759,0.107,0.189
0.561,0.065,-0.011
0.360,0.030,-0.428
0.084,-0.011,-0.028
0.045,-0.011,0.185
0.094,0.002,0.161
0.118,0.005,-0.483
-0.092,-0.031,-0.836
-0.352,-0.072,-1.005
-0.580,-0.103,-1.373
-0.853,-0.140,-0.341
-0.672,-0.101,-0.174
-0.493,-0.069,0.240
-0.233,-0.031,-0.142
-0.198,-0.030,-0.191
-0.192,-0.034,-0.087
-0.152,-0.026,0.619
0.120,0.019,0.973
0.421,0.065,1.086
0.656,0.096,1.390
0.912,0.130,0.349
0.714,0.088,0.140
0.511,0.051,-0.295
0.229,0.010,0.137
0.197,0.011,0.259
0.219,0.019,0.168
0.201,0.015,-0.549
-0.061,-0.028,-0.911
-0.358,-0.074,-1.022
-0.590,-0.105,-1.345
-0.851,-0.139,-0.307
-0.658,-0.098,-0.152
-0.476,-0.066,0.226
-0.228,-0.031,-0.185
-0.210,-0.033,-0.247
-0.220,-0.038,-0.162
-0.196,-0.033,0.566
0.073,0.012,0.924
0.373,0.058,1.047
0.612,0.090,1.393
0.884,0.126,0.338
0.693,0.085,0.124
0.492,0.049,-0.305
0.213,0.008,0.141
0.187,0.010,0.298
0.227,0.021,0.207
0.219,0.018,-0.534
-0.044,-0.026,-0.898
-0.342,-0.072,-1.058
-0.593,-0.106,-1.401
-0.871,-0.143,-0.380
-0.697,-0.105,-0.234
-0.530,-0.075,0.186
-0.277,-0.038,-0.208
-0.249,-0.038,-0.284
-0.258,-0.044,-0.196
-0.233,-0.038,0.546
0.042,0.007,0.914
0.349,0.055,1.059
0.601,0.089,1.380
0.872,0.125,0.332
0.684,0.084,0.105
0.479,0.047,-0.335
0.194,0.005,0.095
0.158,0.005,0.229
0.184,0.014,0.153
0.173,0.011,-0.566
-0.085,-0.032,-0.917
-0.375,-0.076,-1.047
-0.610,-0.108,-1.348
-0.864,-0.140,-0.261
-0.651,-0.097,-0.090
-0.450,-0.062,0.280
-0.192,-0.025,-0.121
-0.163,-0.026,-0.200
-0.173,-0.032,-0.157
-0.166,-0.029,0.530
0.079,0.011,0.865
0.356,0.054,0.960
0.571,0.083,1.251
0.808,0.114,0.158
0.581,0.067,-0.017
0.369,0.030,-0.433
0.089,-0.010,-0.018
0.052,-0.010,0.136
0.081,-0.000,0.102
0.089,-0.000,-0.566
-0.139,-0.038,-0.865
-0.392,-0.077,-1.028
-0.614,-0.108,-1.338
-0.863,-0.140,-0.313
-0.668,-0.100,-0.192
-0.497,-0.069,0.192
-0.253,-0.034,-0.205
-0.232,-0.036,-0.262
-0.240,-0.041,-0.187
-0.219,-0.036,0.565
0.058,0.010,0.941
0.369,0.058,1.078
0.620,0.091,1.395
0.890,0.127,0.342
0.698,0.086,0.163
0.509,0.052,-0.281
0.232,0.011,0.148
0.202,0.012,0.267
0.224,0.020,0.166
0.203,0.015,-0.584
-0.072,-0.031,-0.913
-0.366,-0.076,-1.056
-0.607,-0.108,-1.379
-0.874,-0.142,-0.343
-0.685,-0.103,-0.180
-0.503,-0.070,0.231
-0.243,-0.032,-0.157
-0.209,-0.032,-0.224
-0.211,-0.037,-0.157
-0.189,-0.032,0.575
0.081,0.013,0.937
0.383,0.059,1.083
0.630,0.093,1.416
0.904,0.129,0.356
0.713,0.088,0.137
0.510,0.051,-0.296
0.227,0.010,0.133
0.194,0.010,0.235
0.208,0.017,0.147
0.186,0.012,-0.600
-0.088,-0.033,-0.960
-0.393,-0.080,-1.060
-0.626,-0.110,-1.351
-0.875,-0.142,-0.290
-0.668,-0.099,-0.161
-0.486,-0.068,0.236
-0.231,-0.030,-0.178
-0.208,-0.032,-0.231
-0.213,-0.037,-0.128
-0.180,-0.030,0.646
0.112,0.018,0.983
0.419,0.065,1.109
0.663,0.097,1.379
0.912,0.130,0.301
0.698,0.085,0.130
0.497,0.049,-0.292
0.221,0.009,0.131
0.189,0.010,0.231
0.203,0.017,0.150
0.184,0.012,-0.596
-0.089,-0.033,-0.920
-0.379,-0.077,-1.089
-0.627,-0.110,-1.406
-0.896,-0.146,-0.347
-0.702,-0.105,-0.156
-0.507,-0.070,0.255
-0.237,-0.031,-0.152
