28/10/2022 10:59:55.369245
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
-0.938,-0.377,1.283
-0.278,-0.257,-0.149
-0.282,-0.158,-0.445
-0.369,-0.118,-0.460
-0.415,-0.095,0.396
-0.137,-0.047,0.837
0.195,-0.023,0.431
0.267,0.013,-0.670
-0.071,-0.019,-1.184
-0.468,-0.079,-1.871
-0.961,-0.124,-1.335
-1.090,-0.156,-0.396
-0.840,-0.084,0.450
-0.379,-0.018,0.740
0.014,0.011,-0.385
-0.129,-0.009,-0.632
-0.311,-0.065,-1.182
-0.615,-0.061,0.660
-0.160,0.005,1.379
0.385,0.058,1.678
0.835,0.104,1.235
0.964,0.104,-0.173
0.554,0.047,-0.445
0.190,0.003,-0.846
-0.167,-0.039,0.444
0.048,-0.005,0.887
0.338,0.005,0.728
0.468,0.048,-0.363
0.172,0.018,-0.860
-0.194,-0.040,-1.518
-0.658,-0.082,-1.061
-0.792,-0.091,0.087
-0.510,-0.040,0.626
-0.108,-0.016,0.305
0.044,0.012,-0.492
-0.145,-0.008,-0.757
-0.361,-0.076,-1.283
-0.683,-0.067,0.555
-0.239,-0.002,1.341
0.319,0.051,1.549
0.748,0.095,1.239
0.911,0.068,-0.422
0.431,0.040,-0.552
0.077,-0.039,-1.166
-0.360,-0.051,0.438
-0.075,-0.004,1.116
0.345,0.039,0.993
0.566,0.057,-0.403
0.212,-0.022,-1.613
-0.435,-0.064,-1.675
-0.867,-0.097,-1.053
-0.922,-0.105,0.013
-0.585,-0.053,0.573
-0.175,-0.030,0.329
0.002,0.016,-0.334
-0.120,-0.031,-1.049
-0.444,-0.055,-0.832
-0.573,-0.049,0.920
-0.043,0.008,1.356
0.450,0.070,1.863
0.938,0.085,0.967
0.937,0.108,-0.018
0.595,0.067,-0.285
0.278,0.009,-0.706
-0.069,-0.020,0.529
0.142,-0.028,0.568
0.287,0.038,0.995
0.528,0.025,-0.969
-0.005,-0.011,-1.157
-0.409,-0.050,-1.285
-0.714,-0.088,-1.148
-0.858,-0.093,0.339
-0.433,-0.064,0.200
-0.207,0.002,0.740
0.128,0.040,-0.071
0.057,0.015,-0.839
-0.258,-0.028,-0.850
-0.462,-0.081,0.190
-0.230,-0.007,1.230
0.284,0.024,1.117
0.574,0.079,1.234
0.801,0.103,0.085
0.541,0.051,-0.555
0.149,-0.003,-0.631
-0.129,-0.058,0.128
-0.040,-0.009,0.866
0.280,0.042,1.111
0.567,0.055,-0.494
0.187,0.007,-1.166
-0.294,-0.091,-1.916
-0.865,-0.103,-1.327
-1.020,-0.139,-0.363
-0.780,-0.072,0.558
-0.299,-0.000,0.983
0.152,0.032,-0.351
-0.027,0.006,-0.655
-0.253,-0.057,-1.299
-0.617,-0.057,0.697
-0.146,0.010,1.620
0.477,0.071,1.738
0.916,0.116,1.498
1.109,0.123,-0.254
0.611,0.063,-0.465
0.223,-0.022,-1.113
-0.247,-0.037,0.356
-0.033,-0.002,0.860
0.286,0.030,0.893
0.493,0.051,-0.453
0.154,0.002,-1.236
-0.339,-0.056,-1.495
-0.747,-0.119,-1.509
-0.998,-0.115,0.140
-0.589,-0.051,0.625
-0.157,0.003,0.672
0.134,0.028,-0.373
-0.049,-0.029,-1.023
-0.394,-0.040,-0.903
-0.570,-0.050,0.486
-0.183,-0.009,1.195
0.303,0.053,1.678
0.779,0.066,0.911
0.814,0.095,-0.099
0.487,0.054,-0.279
0.212,0.002,-0.745
-0.125,-0.028,0.519
0.097,-0.025,0.386
0.198,0.023,0.989
0.472,0.054,-0.350
0.177,0.005,-1.167
-0.298,-0.052,-1.469
-0.713,-0.119,-1.717
-1.058,-0.117,0.084
-0.645,-0.056,0.566
-0.213,-0.004,0.516
0.022,0.022,-0.294
-0.088,0.010,-0.549
-0.250,-0.027,-0.922
-0.481,-0.045,0.696
-0.061,0.006,1.250
0.401,0.062,1.747
0.867,0.079,1.051
0.921,0.107,-0.048
0.573,0.066,-0.323
0.255,0.008,-0.652
-0.064,-0.018,0.537
0.144,-0.024,0.437
0.245,0.031,0.996
0.506,0.058,-0.209
0.247,0.014,-1.221
-0.273,-0.047,-1.518
-0.713,-0.121,-1.601
-1.017,-0.110,0.103
-0.616,-0.083,0.084
-0.364,-0.016,0.730
0.023,0.027,-0.196
-0.055,0.003,-0.811
-0.322,-0.035,-0.949
-0.541,-0.082,-0.032
-0.357,-0.025,1.204
0.197,0.049,1.764
0.745,0.094,1.249
0.913,0.103,-0.119
0.542,0.016,-0.838
0.046,-0.011,-0.746
-0.235,-0.064,0.074
-0.110,-0.023,0.886
0.241,0.034,1.235
0.584,0.059,-0.393
0.232,0.013,-0.946
-0.187,-0.029,-1.358
-0.595,-0.079,-1.153
-0.784,-0.086,0.355
-0.377,-0.066,0.193
-0.174,0.005,0.764
