"TOA5","CS110","CR1000","93710","CR1000.Std.32.04","CPU:CS110_1675_5Hz.cr1","47528","Tab"
"TIMESTAMP","RECORD","E_field","status","leakage_cur","panel_temp","battery_volt","internal_RH"
"TS","RN","volts/m","","nA","DegC","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-26 15:09:06.4",0,-0.004110038,4,0.011,21.42,11.98,40.8
"2023-06-26 15:09:06.8",1,-0.004113227,8,0.01,21.42,11.98,40.77
"2023-06-26 15:09:07",2,0.3,1,0.011,21.42,11.98,40.8
"2023-06-26 15:09:07.2",3,0.3,1,0.01,21.42,11.98,40.77
"2023-06-26 15:09:07.4",4,-0.3082265,1,0.01,21.42,11.98,40.77
"2023-06-26 15:09:07.6",5,0.6041143,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:07.8",6,-0.3082265,1,0.01,21.42,11.98,40.8
"2023-06-26 15:09:08",7,-0.3082265,1,0.01,21.42,11.98,40.77
"2023-06-26 15:09:08.2",8,0.6041143,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:08.4",9,0.3,1,0.01,21.42,11.98,40.77
"2023-06-26 15:09:08.6",10,0.6041143,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:08.8",11,0.3,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:09",12,-0.004113227,1,0.01,21.42,11.98,40.8
"2023-06-26 15:09:09.2",13,0.3000022,1,0.012,21.42,11.98,40.77
"2023-06-26 15:09:09.4",14,0.3,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:09.6",15,-0.3082265,1,0.01,21.42,11.98,40.77
"2023-06-26 15:09:09.8",16,0.3000022,1,0.012,21.42,11.98,40.77
"2023-06-26 15:09:10",17,0.3,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:10.2",18,0.3,1,0.01,21.42,11.98,40.77
"2023-06-26 15:09:10.4",19,0.3,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:10.6",20,-0.004113227,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:10.8",21,-0.004113227,1,0.01,21.42,11.98,40.77
"2023-06-26 15:09:11",22,0.6041143,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:11.2",23,0.3,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:11.4",24,-0.004113227,1,0.01,21.42,11.98,40.77
"2023-06-26 15:09:11.6",25,0.6041143,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:11.8",26,-0.004113227,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:12",27,-0.004113227,1,0.01,21.42,11.98,40.77
"2023-06-26 15:09:12.2",28,-0.004113227,1,0.01,21.42,11.98,40.77
"2023-06-26 15:09:12.4",29,-0.004112184,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:12.6",30,-0.004113227,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:12.8",31,0.3,1,0.01,21.42,11.98,40.77
"2023-06-26 15:09:13",32,0.6041143,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:13.2",33,0.3,1,0.01,21.42,11.98,40.77
"2023-06-26 15:09:13.4",34,-0.004113227,1,0.01,21.42,11.98,40.77
"2023-06-26 15:09:13.6",35,0.6041143,1,0.011,21.42,11.98,40.77
"2023-06-26 15:09:13.8",36,-0.004113227,1,0.011,21.45,11.98,40.77
