"TOA5","CS110","CR1000","93710","CR1000.Std.32.04","CPU:CS110_1675_5Hz.cr1","30083","Tab"
"TIMESTAMP","RECORD","E_field","status","leakage_cur","panel_temp","battery_volt","internal_RH"
"TS","RN","volts/m","","nA","DegC","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-25 10:24:11.8",0,-0.1521932,4,0.011,21.42,11.99,39.42
"2023-05-25 10:24:12.2",1,-0.1521932,8,0.01,21.42,11.99,39.42
"2023-05-25 10:24:12.4",2,-0.1521932,1,0.011,21.42,11.99,39.42
"2023-05-25 10:24:12.6",3,0.1518719,1,0.011,21.45,11.99,39.42
"2023-05-25 10:24:12.8",4,0.1518719,1,0.01,21.42,11.99,39.42
"2023-05-25 10:24:13",5,-0.1521932,1,0.011,21.42,11.99,39.42
"2023-05-25 10:24:13.2",6,0.1518719,1,0.01,21.42,11.99,39.42
"2023-05-25 10:24:13.4",7,0.1518719,1,0.01,21.42,11.99,39.42
"2023-05-25 10:24:13.6",8,-0.1521932,1,0.011,21.42,11.99,39.42
"2023-05-25 10:24:13.8",9,0.1518719,1,0.01,21.42,11.99,39.42
"2023-05-25 10:24:14",10,0.1518719,1,0.01,21.45,11.99,39.42
"2023-05-25 10:24:14.2",11,-0.1521932,1,0.011,21.42,11.99,39.42
"2023-05-25 10:24:14.4",12,0.1518719,1,0.01,21.42,11.99,39.42
"2023-05-25 10:24:14.6",13,-0.1521932,1,0.011,21.42,11.99,39.42
"2023-05-25 10:24:14.8",14,0.1518719,1,0.011,21.42,11.99,39.42
"2023-05-25 10:24:15",15,0.1518719,1,0.01,21.45,11.99,39.42
"2023-05-25 10:24:15.2",16,-0.1521932,1,0.011,21.42,11.99,39.42
"2023-05-25 10:24:15.4",17,0.1518719,1,0.01,21.45,11.99,39.42
"2023-05-25 10:24:15.6",18,0.1518719,1,0.01,21.45,11.99,39.42
"2023-05-25 10:24:15.8",19,-0.1521932,1,0.011,21.42,11.99,39.42
"2023-05-25 10:24:16",20,0.1518719,1,0.01,21.45,11.99,39.42
"2023-05-25 10:24:16.2",21,0.1518719,1,0.01,21.45,11.99,39.42
"2023-05-25 10:24:16.4",22,-0.1521932,1,0.011,21.42,11.99,39.42
"2023-05-25 10:24:16.6",23,-0.4562572,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:16.8",24,-0.1521932,1,0.011,21.45,11.99,39.42
"2023-05-25 10:24:17",25,0.1518719,1,0.011,21.42,11.99,39.42
"2023-05-25 10:24:17.2",26,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:17.4",27,0.1518719,1,0.011,21.45,11.99,39.42
"2023-05-25 10:24:17.6",28,0.1518719,1,0.01,21.45,11.99,39.42
"2023-05-25 10:24:17.8",29,0.1518719,1,0.01,21.45,11.99,39.39
"2023-05-25 10:24:18",30,-0.1521932,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:18.2",31,0.1518719,1,0.01,21.45,11.99,39.42
"2023-05-25 10:24:18.4",32,-0.1521932,1,0.011,21.42,11.99,39.39
"2023-05-25 10:24:18.6",33,0.1518719,1,0.011,21.45,11.99,39.39
"2023-05-25 10:24:18.8",34,0.1518719,1,0.01,21.45,11.99,39.42
"2023-05-25 10:24:19",35,-0.1521932,1,0.011,21.45,11.99,39.39
