"TOA5","CS110","CR1000","93710","CR1000.Std.32.04","CPU:CS110_1675_5Hz.cr1","27422","Tab"
"TIMESTAMP","RECORD","E_field","status","leakage_cur","panel_temp","battery_volt","internal_RH"
"TS","RN","volts/m","","nA","DegC","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-29 09:29:47.4",759,-1.970533,1,0.011,21.53,11.98,41.41
"2023-06-29 09:29:47.6",760,-1.666425,1,0.01,21.53,11.98,41.38
"2023-06-29 09:29:47.8",761,-1.970533,1,0.011,21.53,11.98,41.38
"2023-06-29 09:29:48",762,-1.666425,1,0.011,21.53,11.98,41.38
"2023-06-29 09:29:48.2",763,-1.666425,1,0.01,21.53,11.98,41.38
"2023-06-29 09:29:48.4",764,-1.362319,1,0.011,21.53,11.98,41.38
"2023-06-29 09:29:48.6",765,-1.666425,1,0.011,21.53,11.98,41.38
"2023-06-29 09:29:48.8",766,-1.666425,1,0.01,21.53,11.98,41.38
"2023-06-29 09:29:49",767,-1.970533,1,0.011,21.53,11.98,41.38
"2023-06-29 09:29:49.2",768,-1.666425,1,0.01,21.53,11.98,41.38
"2023-06-29 09:29:49.4",769,-1.970532,1,0.01,21.53,11.98,41.38
"2023-06-29 09:29:49.6",770,-1.362319,1,0.011,21.53,11.98,41.38
"2023-06-29 09:29:49.8",771,-1.970532,1,0.011,21.53,11.98,41.38
"2023-06-29 09:29:50",772,-1.970532,1,0.01,21.53,11.98,41.38
"2023-06-29 09:29:50.2",773,-2.274639,1,0.011,21.53,11.98,41.38
"2023-06-29 09:29:50.4",774,-1.970532,1,0.011,21.53,11.98,41.34
"2023-06-29 09:29:50.6",775,-1.970532,1,0.01,21.53,11.98,41.38
"2023-06-29 09:29:50.8",776,-2.578746,1,0.011,21.53,11.98,41.38
"2023-06-29 09:29:51",777,-2.578745,1,0.011,21.53,11.98,41.34
"2023-06-29 09:29:51.2",778,-1.970532,1,0.01,21.53,11.98,41.38
"2023-06-29 09:29:51.4",779,-1.970533,1,0.011,21.53,11.98,41.38
"2023-06-29 09:29:51.6",780,-2.578745,1,0.011,21.53,11.98,41.34
"2023-06-29 09:29:51.8",781,-2.578745,1,0.01,21.53,11.98,41.38
"2023-06-29 09:29:52",782,-2.578745,1,0.01,21.53,11.98,41.38
"2023-06-29 09:29:52.2",783,-1.970487,1,0.011,21.53,11.98,41.34
"2023-06-29 09:29:52.4",784,-1.66639,1,0.01,21.53,11.98,41.38
"2023-06-29 09:46:01.6",785,-0.1458985,4,0.011,21.34,11.98,39.52
"2023-06-29 09:46:02",786,-0.1458985,8,0.01,21.34,11.98,39.93
"2023-06-29 09:46:02.2",787,-0.45,1,0.011,21.34,11.98,40.09
"2023-06-29 09:46:02.4",788,-0.1458985,1,0.01,21.34,11.98,40.23
"2023-06-29 09:46:02.6",789,0.1582041,1,0.011,21.34,11.98,40.36
"2023-06-29 09:46:02.8",790,-0.1458985,1,0.01,21.34,11.98,40.47
"2023-06-29 09:46:03",791,-0.1458985,1,0.009,21.34,11.98,40.57
"2023-06-29 09:46:03.2",792,0.1582041,1,0.011,21.34,11.98,40.67
"2023-06-29 09:46:03.4",793,-0.1458985,1,0.01,21.34,11.98,40.74
"2023-06-29 09:46:03.6",794,0.1582041,1,0.011,21.34,11.98,40.8
