"TOA5","CS110","CR1000","93710","CR1000.Std.32.04","CPU:CS110_1675_5Hz.cr1","29882","Tab"
"TIMESTAMP","RECORD","E_field","status","leakage_cur","panel_temp","battery_volt","internal_RH"
"TS","RN","volts/m","","nA","DegC","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-30 09:17:47.4",0,-0.4553312,4,0.011,21.53,11.98,41.41
"2023-06-30 09:17:47.8",1,-0.1512244,8,0.01,21.53,11.98,41.41
"2023-06-30 09:17:48",2,0.1528869,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:48.2",3,-0.1512232,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:48.4",4,0.1528869,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:48.6",5,-0.1512232,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:48.8",6,-0.1512232,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:49",7,0.1528869,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:49.2",8,-0.1512232,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:49.4",9,0.1528869,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:49.6",10,-0.1512232,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:49.8",11,-0.1512232,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:50",12,0.1528869,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:50.2",13,-0.1512232,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:50.4",14,-0.1512232,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:50.6",15,0.1528869,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:50.8",16,0.1528869,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:51",17,-0.1512232,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:51.2",18,0.1528869,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:51.4",19,0.1528869,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:51.6",20,-0.1512232,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:51.8",21,0.1528869,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:52",22,-0.4553354,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:52.2",23,-0.1512232,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:52.4",24,0.1528869,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:52.6",25,-0.1512232,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:52.8",26,0.1528869,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:53",27,0.1528869,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:53.2",28,-0.1512232,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:53.4",29,0.1528869,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:53.6",30,0.1528869,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:53.8",31,-0.1512232,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:54",32,0.1528869,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:54.2",33,0.1528869,1,0.01,21.53,11.98,41.41
"2023-06-30 09:17:54.4",34,-0.1512232,1,0.011,21.53,11.98,41.41
"2023-06-30 09:17:54.6",35,0.1528869,1,0.01,21.53,11.98,41.41
