"TOA5","CS110","CR1000","93710","CR1000.Std.32.04","CPU:CS110_1675_5Hz.cr1","37996","Tab"
"TIMESTAMP","RECORD","E_field","status","leakage_cur","panel_temp","battery_volt","internal_RH"
"TS","RN","volts/m","","nA","DegC","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-11-15 10:13:08",0,0.3073463,4,0.011,24.69,11.96,30.81
"2022-11-15 10:13:08.4",1,-0.6048992,8,0.011,24.69,11.96,30.84
"2022-11-15 10:13:08.6",2,-0.300817,1,0.01,24.69,11.96,30.84
"2022-11-15 10:13:08.8",3,0.003264189,1,0.011,24.69,11.96,30.84
"2022-11-15 10:13:09",4,0.003264189,1,0.011,24.69,11.96,30.81
"2022-11-15 10:13:09.2",5,0.003264189,1,0.01,24.69,11.96,30.84
"2022-11-15 10:13:09.4",6,-0.300817,1,0.012,24.69,11.96,30.84
"2022-11-15 10:13:09.6",7,-0.300817,1,0.011,24.69,11.96,30.84
"2022-11-15 10:13:09.8",8,0.003264189,1,0.011,24.69,11.96,30.84
"2022-11-15 10:13:10",9,0.003264189,1,0.01,24.69,11.96,30.84
"2022-11-15 10:13:10.2",10,-0.300817,1,0.012,24.69,11.95,30.84
"2022-11-15 10:13:10.4",11,0.003264189,1,0.011,24.69,11.96,30.81
"2022-11-15 10:13:10.6",12,0.003264189,1,0.01,24.69,11.96,30.84
"2022-11-15 10:13:10.8",13,0.003264189,1,0.01,24.69,11.96,30.84
"2022-11-15 10:13:11",14,0.003264189,1,0.011,24.69,11.96,30.84
"2022-11-15 10:13:11.2",15,0.003264189,1,0.011,24.69,11.96,30.84
"2022-11-15 10:13:11.4",16,-0.300817,1,0.01,24.69,11.96,30.81
"2022-11-15 10:13:11.6",17,-0.300817,1,0.011,24.69,11.96,30.81
"2022-11-15 10:13:11.8",18,-0.300817,1,0.011,24.69,11.96,30.84
"2022-11-15 10:13:12",19,0.003264189,1,0.01,24.69,11.96,30.84
"2022-11-15 10:13:12.2",20,0.003264189,1,0.01,24.69,11.96,30.84
"2022-11-15 10:13:12.4",21,-0.300817,1,0.011,24.69,11.96,30.81
"2022-11-15 10:13:12.6",22,0.003264189,1,0.011,24.69,11.96,30.81
"2022-11-15 10:13:12.8",23,0.003264189,1,0.01,24.69,11.96,30.81
"2022-11-15 10:13:13",24,0.003264189,1,0.01,24.69,11.96,30.84
"2022-11-15 10:13:13.2",25,-0.300817,1,0.011,24.69,11.96,30.84
"2022-11-15 10:13:13.4",26,0.003264189,1,0.011,24.69,11.95,30.81
"2022-11-15 10:13:13.6",27,0.003264189,1,0.01,24.69,11.96,30.84
"2022-11-15 10:13:13.8",28,-0.3008158,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:14",29,0.003264189,1,0.011,24.69,11.96,30.81
"2022-11-15 10:13:14.2",30,0.003264189,1,0.01,24.69,11.96,30.84
"2022-11-15 10:13:14.4",31,0.003264189,1,0.01,24.72,11.96,30.81
"2022-11-15 10:13:14.6",32,-0.300817,1,0.011,24.72,11.96,30.84
"2022-11-15 10:13:14.8",33,0.003264189,1,0.011,24.72,11.95,30.81
"2022-11-15 10:13:15",34,0.003264189,1,0.01,24.69,11.96,30.81
"2022-11-15 10:13:15.2",35,-0.300817,1,0.012,24.69,11.96,30.84
"2022-11-15 10:13:15.4",36,0.003264189,1,0.011,24.72,11.96,30.84
