"TOA5","CS110","CR1000","93710","CR1000.Std.32.04","CPU:CS110_1675_5Hz.cr1","34795","Tab"
"TIMESTAMP","RECORD","E_field","status","leakage_cur","panel_temp","battery_volt","internal_RH"
"TS","RN","volts/m","","nA","DegC","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-19 13:53:31.2",0,-0.157687,4,0.011,21.18,11.99,41.01
"2023-06-19 13:53:31.6",1,0.4505287,8,0.01,21.18,11.99,41.01
"2023-06-19 13:53:31.8",2,0.4505287,1,0.011,21.18,11.99,41.01
"2023-06-19 13:53:32",3,-0.4617885,1,0.011,21.18,11.99,41.01
"2023-06-19 13:53:32.2",4,0.146423,1,0.01,21.18,11.99,41.01
"2023-06-19 13:53:32.4",5,0.146423,1,0.011,21.18,11.99,41.01
"2023-06-19 13:53:32.6",6,0.7546345,1,0.01,21.18,11.99,41.01
"2023-06-19 13:53:32.8",7,-0.4617885,1,0.01,21.18,11.99,41.01
"2023-06-19 13:53:33",8,0.4505287,1,0.011,21.18,11.99,41.01
"2023-06-19 13:53:33.2",9,0.146423,1,0.01,21.18,11.99,41.01
"2023-06-19 13:53:33.4",10,-0.1576828,1,0.011,21.18,11.99,41.01
"2023-06-19 13:53:33.6",11,0.146423,1,0.011,21.18,11.99,41.01
"2023-06-19 13:53:33.8",12,-0.4617885,1,0.01,21.18,11.99,41.01
"2023-06-19 13:53:34",13,0.146423,1,0.011,21.21,11.99,41.01
"2023-06-19 13:53:34.2",14,0.146423,1,0.01,21.21,11.99,41.01
"2023-06-19 13:53:34.4",15,0.4505287,1,0.009,21.21,11.99,41.01
"2023-06-19 13:53:34.6",16,0.146423,1,0.01,21.18,11.99,41.01
"2023-06-19 13:53:34.8",17,0.146423,1,0.01,21.18,11.99,41.01
"2023-06-19 13:53:35",18,0.146423,1,0.011,21.21,11.99,41.01
"2023-06-19 13:53:35.2",19,0.146423,1,0.01,21.21,11.99,41.01
"2023-06-19 13:53:35.4",20,0.146423,1,0.011,21.21,11.99,41.01
"2023-06-19 13:53:35.6",21,0.146423,1,0.01,21.21,11.99,41.01
"2023-06-19 13:53:35.8",22,-0.4617885,1,0.01,21.21,11.99,41.01
"2023-06-19 13:53:36",23,0.4505287,1,0.011,21.21,11.99,41.01
"2023-06-19 13:53:36.2",24,0.146423,1,0.01,21.21,11.99,41.01
"2023-06-19 13:53:36.4",25,-0.1576828,1,0.01,21.21,11.99,41.01
"2023-06-19 13:53:36.6",26,0.146423,1,0.011,21.21,11.99,41.01
"2023-06-19 13:53:36.8",27,0.4505287,1,0.01,21.21,11.99,41.01
"2023-06-19 13:53:37",28,-0.1576828,1,0.011,21.21,11.99,41.01
"2023-06-19 13:53:37.2",29,0.4505287,1,0.01,21.21,11.99,41.01
"2023-06-19 13:53:37.4",30,-0.4617885,1,0.01,21.21,11.99,41.01
"2023-06-19 13:53:37.6",31,0.146423,1,0.011,21.21,11.99,41.01
"2023-06-19 13:53:37.8",32,0.146423,1,0.01,21.21,11.99,41.01
"2023-06-19 13:53:38",33,-0.1576828,1,0.011,21.21,11.99,41.01
"2023-06-19 13:53:38.2",34,0.146423,1,0.01,21.21,11.99,41.01
"2023-06-19 13:53:38.4",35,0.4505287,1,0.01,21.21,11.99,41.01
"2023-06-19 13:53:38.6",36,0.146423,1,0.011,21.21,11.99,41.01
